Interest Rate,Rate Spread,Loan Amount,Loan-to-Value Ratio,No Intro Rate Period,Intro Rate Period,Property Value,Income,Debt-to-Income Ratio,Term 360,Conforming,State,Product Type,Race,Ethnicity,Sex,Low-Priced
0.0495,0.00494,275000.0,0.95,1,0,295000.0,70000.0,0.33,1.0,1.0,WA,conventional,White,Non-Hispanic,Male,1.0
0.04,0.0069999999999999,135000.0,0.97,1,0,145000.0,62000.0,0.39,1.0,1.0,NE,conventional,White,Non-Hispanic,Male,1.0
0.043,0.00278,505000.0,1.0,0,180,505000.0,215000.0,0.25,1.0,0.0,IL,conventional,White,Non-Hispanic,Female,1.0
0.05,0.01012,165000.0,1.0101,1,0,165000.0,59000.0,0.39,1.0,1.0,UT,fsa_rhs,White,Non-Hispanic,Female,1.0
0.03875,-0.00065,165000.0,0.5665,1,0,295000.0,81000.0,0.36,1.0,1.0,AR,conventional,White,Non-Hispanic,Male,1.0
0.05625,0.02259,205000.0,0.982,1,0,215000.0,123000.0,0.33,1.0,1.0,GA,fha,Black,Non-Hispanic,Female,0.0
0.03875,0.00154,235000.0,0.9,0,84,265000.0,60000.0,0.41,1.0,1.0,NC,conventional,White,Non-Hispanic,Female,1.0
0.0475,0.01206,125000.0,0.98188,1,0,135000.0,43000.0,0.25,1.0,1.0,AR,fha,White,Non-Hispanic,Male,1.0
0.04625,0.00202,485000.0,0.8,1,0,615000.0,198000.0,0.25,1.0,0.0,TX,conventional,White,Non-Hispanic,Male,1.0
0.045,0.00571,385000.0,0.9,1,0,435000.0,78000.0,0.41,1.0,1.0,CA,conventional,White,Non-Hispanic,Female,1.0
0.0525,0.0085399999999999,205000.0,0.7490600000000001,1,0,275000.0,39000.0,0.41,1.0,1.0,LA,conventional,White,Non-Hispanic,Female,1.0
0.045,-0.0001,515000.0,0.8803,1,0,585000.0,111000.0,0.41,1.0,1.0,CA,va,White,Non-Hispanic,Male,1.0
0.03375,0.00411,75000.0,0.5,1,0,155000.0,82000.0,0.25,0.0,1.0,NY,conventional,White,Non-Hispanic,Female,1.0
0.0475,0.00664,265000.0,0.5498,1,0,465000.0,91000.0,0.46,1.0,1.0,TN,fha,Asian,Non-Hispanic,Female,1.0
0.0475,0.0121999999999999,255000.0,0.965,1,0,265000.0,56000.0,0.43,1.0,1.0,FL,fha,Black,Non-Hispanic,Male,1.0
0.057,0.0117399999999999,495000.0,0.98118,1,0,495000.0,134000.0,0.4,1.0,0.0,WA,va,White,Non-Hispanic,Male,1.0
0.04625,0.01913,375000.0,0.9818,1,0,385000.0,117000.0,0.33,1.0,1.0,CA,fha,Black,Non-Hispanic,Female,0.0
0.04375,-0.002652,195000.0,0.6,1,0,315000.0,39000.0,0.48,1.0,1.0,TX,conventional,Asian,Non-Hispanic,Male,1.0
0.0475,0.0060599999999999,125000.0,0.965,1,0,135000.0,32000.0,0.33,1.0,1.0,TN,conventional,White,Non-Hispanic,Female,1.0
0.0475,0.00805,115000.0,0.95,1,0,125000.0,62000.0,0.4,1.0,1.0,SC,conventional,Black,Non-Hispanic,Female,1.0
0.045,0.0056999999999999,225000.0,0.83176,1,0,265000.0,49000.0,0.46,1.0,1.0,IL,fha,White,Non-Hispanic,Male,1.0
0.04125,0.00095,305000.0,0.76,1,0,395000.0,209000.0,0.42,0.0,1.0,WA,conventional,Asian,Non-Hispanic,Male,1.0
0.0525,0.0091,195000.0,0.8,1,0,245000.0,207000.0,0.1,1.0,1.0,AZ,conventional,White,Non-Hispanic,Male,1.0
0.04375,0.01456,145000.0,0.9967,1,0,145000.0,39000.0,0.45,1.0,1.0,NM,fha,White,Hispanic,Female,1.0
0.045,-0.0002,225000.0,0.47368,1,0,475000.0,88000.0,0.25,1.0,1.0,GA,conventional,White,Non-Hispanic,Female,1.0
0.045,0.00489,105000.0,0.5972,1,0,185000.0,75000.0,0.33,1.0,1.0,AZ,conventional,White,Hispanic,Male,1.0
0.047,0.00435,315000.0,0.9,1,0,355000.0,72000.0,0.33,1.0,1.0,CO,conventional,White,Non-Hispanic,Female,1.0
0.04875,0.0121999999999999,205000.0,0.965,1,0,205000.0,72000.0,0.33,1.0,1.0,TX,fha,Black,Non-Hispanic,Female,1.0
0.0475,0.00563,45000.0,0.8,1,0,65000.0,19000.0,0.39,1.0,1.0,OH,conventional,White,Non-Hispanic,Female,1.0
0.045,0.00801,375000.0,0.8,1,0,465000.0,94000.0,0.55,1.0,1.0,WA,fha,Asian,Non-Hispanic,Male,1.0
0.04625,7.000000000000001e-05,765000.0,0.61,1,0,1265000.0,801000.0,0.1,1.0,0.0,MI,conventional,White,Non-Hispanic,Male,1.0
0.03875,0.0082399999999999,345000.0,0.965,1,0,345000.0,101000.0,0.41,1.0,1.0,FL,fha,Black,Non-Hispanic,Female,1.0
0.04875,0.01647,125000.0,0.9818,1,0,135000.0,46000.0,0.42,1.0,1.0,SC,fha,Black,Non-Hispanic,Male,0.0
0.03875,0.00915,115000.0,0.965,1,0,115000.0,75000.0,0.4,1.0,1.0,IL,fha,White,Non-Hispanic,Female,1.0
0.035,-0.0030359999999999,1015000.0,0.8,0,84,1275000.0,336000.0,0.41,1.0,0.0,CA,conventional,Asian,Non-Hispanic,Male,1.0
0.0475,0.01149,165000.0,0.9818,1,0,165000.0,118000.0,0.55,1.0,1.0,FL,fha,White,Non-Hispanic,Female,1.0
0.05,0.00545,455000.0,0.68,1,0,675000.0,164000.0,0.46,1.0,1.0,WA,conventional,White,Non-Hispanic,Male,1.0
0.04875,0.002,185000.0,0.8,1,0,225000.0,31000.0,0.46,1.0,1.0,NC,conventional,Asian,Non-Hispanic,Male,1.0
0.045,0.00394,175000.0,0.95,1,0,185000.0,70000.0,0.33,1.0,1.0,NC,conventional,White,Non-Hispanic,Female,1.0
0.04625,0.00562,55000.0,0.36,1,0,135000.0,24000.0,0.25,1.0,1.0,UT,conventional,White,Non-Hispanic,Female,1.0
0.0499,0.00418,175000.0,0.9471,1,0,195000.0,74000.0,0.33,1.0,1.0,SC,conventional,White,Non-Hispanic,Male,1.0
0.03875,-0.00055,265000.0,0.8,1,0,335000.0,120000.0,0.25,1.0,1.0,NJ,conventional,White,Non-Hispanic,Male,1.0
0.0475,0.0132699999999999,295000.0,0.965,1,0,305000.0,92000.0,0.55,1.0,1.0,MO,fha,White,Non-Hispanic,Male,1.0
0.04125,0.00295,195000.0,0.95,1,0,205000.0,143000.0,0.33,0.0,1.0,FL,conventional,Asian,Non-Hispanic,Female,1.0
0.0429,-0.0012,285000.0,0.8499,1,0,335000.0,85000.0,0.37,1.0,1.0,OH,conventional,White,Non-Hispanic,Male,1.0
0.045,0.01046,135000.0,0.965,1,0,135000.0,35000.0,0.49,1.0,1.0,AZ,fha,White,Non-Hispanic,Male,1.0
0.0375,0.00439,85000.0,0.5861999999999999,1,0,145000.0,34000.0,0.39,0.0,1.0,WI,conventional,White,Non-Hispanic,Male,1.0
0.05625,0.01952,205000.0,0.95,1,0,215000.0,132000.0,0.42,1.0,1.0,TX,conventional,White,Non-Hispanic,Male,0.0
0.045,0.00655,365000.0,0.95,1,0,385000.0,90000.0,0.49,1.0,1.0,GA,conventional,Black,Non-Hispanic,Female,1.0
0.04625,0.0013,135000.0,0.7,1,0,195000.0,31000.0,0.37,1.0,1.0,MO,conventional,Asian,Non-Hispanic,Male,1.0
0.04875,0.00388,455000.0,0.84993,1,0,885000.0,434000.0,0.25,1.0,1.0,FL,conventional,White,Non-Hispanic,Male,1.0
0.04875,0.00734,195000.0,0.97,1,0,205000.0,65000.0,0.38,1.0,1.0,TX,conventional,White,Non-Hispanic,Male,1.0
0.05375,0.00662,185000.0,0.8,1,0,225000.0,58000.0,0.36,1.0,1.0,NM,conventional,White,Hispanic,Male,1.0
0.05,0.0139999999999999,135000.0,0.97,1,0,145000.0,70000.0,0.33,1.0,1.0,TX,conventional,White,Hispanic,Male,1.0
0.045,0.0034899999999999,375000.0,1.0,1,0,365000.0,149000.0,0.33,1.0,1.0,IL,va,White,Non-Hispanic,Male,1.0
0.04875,0.00959,155000.0,0.97,1,0,165000.0,55000.0,0.43,1.0,1.0,MT,conventional,White,Non-Hispanic,Female,1.0
0.04375,-0.002691,555000.0,0.77,1,0,725000.0,135000.0,0.49,1.0,1.0,CA,conventional,Asian,Non-Hispanic,Female,1.0
0.05125,0.01544,145000.0,0.965,1,0,155000.0,49000.0,0.48,1.0,1.0,IL,fha,Black,Non-Hispanic,Female,0.0
0.045,0.00712,85000.0,0.9937,1,0,75000.0,56000.0,0.33,1.0,1.0,IN,va,White,Non-Hispanic,Male,1.0
0.045,0.00937,225000.0,0.965,1,0,225000.0,43000.0,0.41,1.0,1.0,UT,fha,White,Hispanic,Male,1.0
0.0575,0.01627,125000.0,0.9,1,0,135000.0,42000.0,0.25,1.0,1.0,AZ,conventional,White,Non-Hispanic,Female,0.0
0.05125,0.01837,275000.0,0.9818828,1,0,275000.0,64000.0,0.42,1.0,1.0,SC,fha,White,Non-Hispanic,Male,0.0
0.04625,0.00115,235000.0,1.0,1,0,235000.0,79000.0,0.41,1.0,1.0,VA,va,White,Non-Hispanic,Male,1.0
0.04375,0.00086,165000.0,0.99694,1,0,165000.0,50000.0,0.33,1.0,1.0,NC,va,White,Hispanic,Male,1.0
0.0525,0.01307,135000.0,0.97,1,0,145000.0,49000.0,0.39,1.0,1.0,NC,conventional,White,Non-Hispanic,Female,1.0
0.04125,-0.00511,465000.0,0.7997,1,0,575000.0,77000.0,0.41,1.0,0.0,OH,conventional,White,Non-Hispanic,Female,1.0
0.045,-8e-05,125000.0,0.8,1,0,155000.0,87000.0,0.33,1.0,1.0,NC,conventional,White,Hispanic,Female,1.0
0.0525,0.00735,305000.0,1.0,1,0,305000.0,86000.0,0.44,1.0,1.0,CT,va,White,Hispanic,Male,1.0
0.0375,0.0001099999999999,195000.0,1.0,1,0,195000.0,58000.0,0.4,1.0,1.0,VA,va,White,Non-Hispanic,Male,1.0
0.04875,0.01278,75000.0,0.4443999999999999,1,0,175000.0,33000.0,0.33,0.0,1.0,CA,conventional,White,Non-Hispanic,Male,1.0
0.0438,0.0064,305000.0,0.95,1,0,325000.0,90000.0,0.46,1.0,1.0,NJ,conventional,White,Non-Hispanic,Female,1.0
0.05125,0.00575,355000.0,0.9,1,0,395000.0,93000.0,0.49,1.0,1.0,MI,conventional,Asian,Non-Hispanic,Male,1.0
0.0525,0.01176,95000.0,0.95,1,0,95000.0,35000.0,0.4,1.0,1.0,MD,conventional,Asian,Non-Hispanic,Male,1.0
0.05125,0.01788,95000.0,1.0041,1,0,95000.0,41000.0,0.43,1.0,1.0,IL,fha,Black,Non-Hispanic,Female,0.0
0.045,0.00553,205000.0,0.5367999999999999,1,0,385000.0,0.0,0.25,0.0,1.0,OK,conventional,White,Non-Hispanic,Male,1.0
0.0475,0.00311,215000.0,0.97,1,0,225000.0,60000.0,0.41,1.0,1.0,LA,conventional,White,Non-Hispanic,Female,1.0
0.045,-0.000775,215000.0,0.8,1,0,275000.0,65000.0,0.42,1.0,1.0,TX,conventional,White,Non-Hispanic,Female,1.0
0.04875,0.0081999999999999,155000.0,0.9,1,0,175000.0,69000.0,0.25,1.0,1.0,TX,conventional,White,Hispanic,Female,1.0
0.04625,0.00896,135000.0,0.965,1,0,145000.0,53000.0,0.39,1.0,1.0,VA,fha,White,Hispanic,Male,1.0
0.05125,0.00599,385000.0,0.8,1,0,485000.0,180000.0,0.33,1.0,1.0,UT,conventional,White,Non-Hispanic,Male,1.0
0.04125,-0.00422,975000.0,0.75,1,0,1295000.0,273000.0,0.33,1.0,0.0,NJ,conventional,White,Non-Hispanic,Male,1.0
0.05,0.00915,75000.0,0.97,1,0,85000.0,34000.0,0.25,1.0,1.0,IN,conventional,White,Non-Hispanic,Female,1.0
0.045,0.00056,365000.0,0.7931,1,0,465000.0,92000.0,0.43,1.0,1.0,TX,conventional,White,Hispanic,Male,1.0
0.06625,0.0220199999999999,65000.0,1.02511,1,0,65000.0,47000.0,0.37,1.0,1.0,AL,conventional,White,Hispanic,Male,0.0
0.04875,0.00468,135000.0,0.8,1,0,175000.0,40000.0,0.47,1.0,1.0,FL,conventional,White,Non-Hispanic,Female,1.0
0.03875,-0.00065,245000.0,0.49559,1,0,495000.0,75000.0,0.33,1.0,1.0,UT,conventional,White,Non-Hispanic,Male,1.0
0.04375,-0.00045,595000.0,0.78684,1,0,765000.0,254000.0,0.25,1.0,1.0,NJ,conventional,White,Non-Hispanic,Male,1.0
0.04625,0.0067,115000.0,0.28955,1,0,375000.0,72000.0,0.42,1.0,1.0,FL,conventional,Black,Non-Hispanic,Male,1.0
0.04125,0.00677,175000.0,0.99,1,0,175000.0,38000.0,0.49,1.0,1.0,ID,fha,White,Hispanic,Male,1.0
0.045,0.0038,185000.0,1.0101,1,0,185000.0,45000.0,0.33,1.0,1.0,MN,fsa_rhs,White,Non-Hispanic,Male,1.0
0.0525,0.01808,195000.0,0.965,1,0,195000.0,60000.0,0.55,1.0,1.0,TX,fha,White,Hispanic,Male,0.0
0.05625,0.02055,225000.0,0.9994,1,0,235000.0,75000.0,0.49,1.0,1.0,MD,fha,Black,Non-Hispanic,Female,0.0
0.04875,0.00762,205000.0,1.0,1,0,215000.0,40000.0,0.49,1.0,1.0,CO,conventional,Asian,Non-Hispanic,Female,1.0
0.0375,0.00057,335000.0,0.95,1,0,345000.0,130000.0,0.25,1.0,1.0,PA,conventional,Black,Non-Hispanic,Female,1.0
0.0475,0.00506,125000.0,0.95,1,0,135000.0,66000.0,0.33,1.0,1.0,CT,conventional,White,Non-Hispanic,Female,1.0
0.0399,-0.00316,255000.0,0.6984699999999999,1,0,365000.0,87000.0,0.25,1.0,1.0,VA,va,White,Non-Hispanic,Male,1.0
0.05125,0.0066,185000.0,0.97,1,0,185000.0,60000.0,0.33,1.0,1.0,NC,conventional,White,Non-Hispanic,Female,1.0
0.04625,0.00114,245000.0,1.0,1,0,245000.0,50000.0,0.49,1.0,1.0,WI,va,White,Non-Hispanic,Female,1.0
0.0475,0.0034799999999999,215000.0,0.8,1,0,265000.0,83000.0,0.33,1.0,1.0,TX,conventional,White,Hispanic,Female,1.0
0.05375,0.0095,85000.0,0.8,1,0,105000.0,40000.0,0.25,1.0,1.0,GA,conventional,White,Non-Hispanic,Male,1.0
0.0499,0.00086,55000.0,0.65,1,0,85000.0,40000.0,0.25,1.0,1.0,OH,conventional,White,Non-Hispanic,Male,1.0
0.0399,0.009957,85000.0,0.965,1,0,85000.0,53000.0,0.46,1.0,1.0,MI,fha,White,Non-Hispanic,Female,1.0
0.045,-0.00337,185000.0,1.0,1,0,185000.0,35000.0,0.55,1.0,1.0,FL,va,Black,Non-Hispanic,Female,1.0
0.05,0.0152,235000.0,0.965,1,0,245000.0,71000.0,0.44,1.0,1.0,FL,fha,White,Hispanic,Female,0.0
0.045,0.01103,275000.0,0.965,1,0,275000.0,118000.0,0.47,1.0,1.0,WA,fha,White,Non-Hispanic,Male,1.0
0.04375,0.01153,265000.0,0.9818,1,0,265000.0,62000.0,0.55,1.0,1.0,AZ,fha,White,Non-Hispanic,Male,1.0
0.0425,6e-05,65000.0,0.8,1,0,85000.0,60000.0,0.25,1.0,1.0,WV,conventional,White,Non-Hispanic,Male,1.0
0.045,0.00637,285000.0,0.95,1,0,295000.0,99000.0,0.42,1.0,1.0,AL,conventional,White,Non-Hispanic,Male,1.0
0.04625,0.0100499999999999,135000.0,0.97,1,0,135000.0,47000.0,0.42,1.0,1.0,NJ,conventional,White,Non-Hispanic,Male,1.0
0.0412999999999999,0.00253,415000.0,0.8,1,0,525000.0,210000.0,0.1,1.0,1.0,NY,conventional,White,Non-Hispanic,Male,1.0
0.04375,0.0072699999999999,255000.0,0.965,1,0,265000.0,57000.0,0.55,1.0,1.0,MD,fha,Black,Hispanic,Male,1.0
0.0475,0.00045,255000.0,0.9981,1,0,255000.0,88000.0,0.38,1.0,1.0,MO,fsa_rhs,White,Non-Hispanic,Female,1.0
0.04625,-0.00248,245000.0,0.8561,1,0,285000.0,56000.0,0.42,1.0,1.0,PA,va,Asian,Non-Hispanic,Male,1.0
0.045,0.00445,125000.0,0.8,1,0,155000.0,64000.0,0.1,1.0,1.0,GA,conventional,White,Non-Hispanic,Male,1.0
0.04625,0.00757,255000.0,0.95,1,0,275000.0,69000.0,0.47,1.0,1.0,MN,conventional,White,Non-Hispanic,Female,1.0
0.05625,0.0204999999999999,105000.0,0.9818,1,0,105000.0,31000.0,0.55,1.0,1.0,IA,fha,White,Non-Hispanic,Male,0.0
0.04625,0.01117,185000.0,0.965,1,0,185000.0,51000.0,0.46,1.0,1.0,MD,fha,Black,Non-Hispanic,Female,1.0
0.04375,0.00089,155000.0,0.34222,1,0,455000.0,62000.0,0.33,1.0,1.0,CA,conventional,White,Hispanic,Male,1.0
0.04625,0.0020399999999999,255000.0,0.8,1,0,315000.0,282000.0,0.49,1.0,1.0,KS,conventional,White,Non-Hispanic,Female,1.0
0.0525,0.0141,35000.0,0.96999,1,0,35000.0,34000.0,0.25,1.0,1.0,GA,conventional,White,Non-Hispanic,Male,1.0
0.04875,0.00208,265000.0,0.72925,1,0,365000.0,93000.0,0.33,1.0,1.0,GA,conventional,White,Non-Hispanic,Male,1.0
0.045,0.00333,45000.0,0.2352,1,0,175000.0,60000.0,0.4,1.0,1.0,SC,conventional,White,Non-Hispanic,Female,1.0
0.045,0.00491,255000.0,1.0,1,0,245000.0,111000.0,0.41,1.0,1.0,CT,va,White,Non-Hispanic,Male,1.0
0.04625,0.00774,75000.0,0.97,1,0,75000.0,53000.0,0.25,1.0,1.0,NY,conventional,White,Non-Hispanic,Female,1.0
0.0425,0.0035499999999999,175000.0,0.8,1,0,215000.0,85000.0,0.36,1.0,1.0,OH,conventional,White,Non-Hispanic,Male,1.0
0.04875,0.00645,65000.0,0.66667,1,0,95000.0,60000.0,0.45,1.0,1.0,GA,conventional,White,Non-Hispanic,Male,1.0
0.04625,0.01375,235000.0,0.965,1,0,245000.0,58000.0,0.48,1.0,1.0,TX,fha,White,Hispanic,Female,1.0
0.0429,-0.001,125000.0,0.7159,1,0,175000.0,38000.0,0.33,1.0,1.0,OH,conventional,Asian,Non-Hispanic,Male,1.0
0.05,0.00308,115000.0,0.9,1,0,125000.0,72000.0,0.33,1.0,1.0,MI,conventional,White,Non-Hispanic,Female,1.0
0.05625,0.01268,215000.0,0.8,1,0,275000.0,62000.0,0.33,1.0,1.0,MA,conventional,White,Non-Hispanic,Male,1.0
0.045,0.01291,365000.0,0.98189,1,0,375000.0,77000.0,0.55,1.0,1.0,MN,fha,White,Non-Hispanic,Male,1.0
0.04625,0.00023,835000.0,0.8,1,0,1045000.0,171000.0,0.42,1.0,0.0,CA,conventional,Asian,Non-Hispanic,Female,1.0
0.0525,0.01043,155000.0,1.0101,1,0,155000.0,44000.0,0.43,1.0,1.0,FL,fsa_rhs,White,Non-Hispanic,Male,1.0
0.0463,0.00145,105000.0,0.56,1,0,185000.0,50000.0,0.33,1.0,1.0,NJ,conventional,White,Non-Hispanic,Female,1.0
0.0525,0.00764,185000.0,0.8,1,0,235000.0,47000.0,0.33,1.0,1.0,WA,conventional,White,Non-Hispanic,Male,1.0
0.0575,0.02392,245000.0,0.965,1,0,255000.0,56000.0,0.55,1.0,1.0,FL,fha,White,Hispanic,Male,0.0
0.0575,0.02321,165000.0,0.965,1,0,175000.0,64000.0,0.55,1.0,1.0,CO,fha,White,Non-Hispanic,Female,0.0
0.045,0.00041,345000.0,1.0,1,0,345000.0,91000.0,0.39,1.0,1.0,NY,va,White,Hispanic,Male,1.0
0.04375,0.0018,135000.0,0.8645,1,0,155000.0,73000.0,0.25,1.0,1.0,FL,conventional,White,Non-Hispanic,Male,1.0
0.0575,0.01325,165000.0,0.75,1,0,225000.0,35000.0,0.4,1.0,1.0,NV,conventional,White,Hispanic,Male,1.0
0.0425,-0.00507,1085000.0,0.8,1,0,1355000.0,242000.0,0.42,1.0,0.0,NJ,conventional,White,Non-Hispanic,Male,1.0
0.05,0.01482,95000.0,0.965,1,0,95000.0,58000.0,0.55,1.0,1.0,MO,fha,White,Non-Hispanic,Male,1.0
